bowler,balls_bowled,runs_conceded,wickets_taken,economy_factor,wicket_factor
TK Curran,241,416,13,1.1507607192254496,0.5394190871369295
TL Suman,152,195,7,0.8552631578947368,0.4605263157894737
TM Dilshan,271,361,5,0.8880688806888068,0.18450184501845018
TP Sudhindra,71,132,1,1.2394366197183098,0.14084507042253522
TS Mills,209,328,11,1.0462519936204147,0.5263157894736842
TU Deshpande,1188,1936,64,1.0864197530864197,0.5387205387205387
UT Yadav,3080,4185,163,0.9058441558441559,0.5292207792207791
Umar Gul,141,166,14,0.784869976359338,0.9929078014184398
Umran Malik,497,732,31,0.9818913480885313,0.6237424547283702
V Kohli,257,354,5,0.9182879377431906,0.19455252918287938
V Nigam,367,573,17,1.0408719346049047,0.4632152588555858
V Pratap Singh,204,289,12,0.9444444444444445,0.5882352941176471
V Puthur,72,108,6,1.0,0.8333333333333333
V Sehwag,137,233,6,1.1338199513381995,0.43795620437956206
V Shankar,243,323,12,0.8861454046639232,0.49382716049382713
V Viyaskanth,60,86,1,0.9555555555555556,0.16666666666666666
VG Arora,1152,1797,69,1.0399305555555556,0.5989583333333334
VR Aaron,1002,1401,45,0.9321357285429142,0.4491017964071856
VR Iyer,82,140,3,1.1382113821138211,0.36585365853658536
VRV Singh,364,531,16,0.9725274725274725,0.4395604395604396
VS Malik,207,254,6,0.8180354267310789,0.2898550724637681
VY Mahesh,346,478,22,0.9210019267822736,0.6358381502890174
Vijaykumar Vyshak,698,1185,42,1.1318051575931232,0.6017191977077364
W O'Rourke,62,129,6,1.3870967741935483,0.967741935483871
WA Mota,73,94,4,0.858447488584475,0.547945205479452
WD Parnell,729,881,39,0.8056698673982625,0.5349794238683128
WG Jacks,157,266,8,1.129511677282378,0.5095541401273885
WPUJC Vaas,284,345,22,0.8098591549295775,0.7746478873239436
Washington Sundar,1214,1571,43,0.8627127951674903,0.3542009884678748
XC Bartlett,525,966,17,1.2266666666666668,0.32380952380952377
Y Nagar,70,117,4,1.1142857142857143,0.5714285714285714
Y Venugopal Rao,216,329,7,1.0154320987654322,0.32407407407407407
YA Abdulla,210,294,15,0.9333333333333332,0.7142857142857142
YK Pathan,1147,1372,45,0.7974426038942167,0.3923278116826504
YS Chahal,4259,5578,249,0.8731314079987477,0.5846442826954684
Yash Dayal,881,1333,44,1.008702232311767,0.49943246311010214
Yash Raj Punja,144,198,9,0.9166666666666666,0.625
Yash Thakur,447,738,28,1.1006711409395973,0.6263982102908278
Yudhvir Singh,139,242,8,1.1606714628297363,0.5755395683453237
Yuvraj Singh,870,1064,39,0.8153256704980842,0.4482758620689655
Z Khan,2202,2691,119,0.8147138964577656,0.5404178019981835
Zeeshan Ansari,204,327,8,1.0686274509803921,0.39215686274509803
